Index,Folder,Filename,Feature,Step Description,Recommended PPT Usage
49,11_translation,14_07_tamil_translation.png,Multilingual Regional Translation,14 07 Tamil Translation,Multilingual Accessibility slide
50,11_translation,14_08_telugu_translation.png,Multilingual Regional Translation,14 08 Telugu Translation,Multilingual Accessibility slide
51,11_translation,14_09_marathi_translation.png,Multilingual Regional Translation,14 09 Marathi Translation,Multilingual Accessibility slide
52,11_translation,14_10_gujarati_translation.png,Multilingual Regional Translation,14 10 Gujarati Translation,Multilingual Accessibility slide
53,11_translation,14_11_kannada_translation.png,Multilingual Regional Translation,14 11 Kannada Translation,Multilingual Accessibility slide
54,11_translation,14_12_malayalam_translation.png,Multilingual Regional Translation,14 12 Malayalam Translation,Multilingual Accessibility slide
55,11_translation,14_13_punjabi_translation.png,Multilingual Regional Translation,14 13 Punjabi Translation,AI Doctor Brief & Clinical Continuity slide
56,11_translation,14_14_urdu_translation.png,Multilingual Regional Translation,14 14 Urdu Translation,Multilingual Accessibility slide
57,12_tts,15_01_tts_ready.png,Voice Accessibility & Plain Terms,15 01 Tts Ready,Feature walkthrough slide
58,12_tts,15_02_tts_playing.png,Voice Accessibility & Plain Terms,15 02 Tts Playing,Feature walkthrough slide
59,12_tts,16_01_key_medical_terms.png,Voice Accessibility & Plain Terms,16 01 Key Medical Terms,Feature walkthrough slide
60,13_emergency,17_01_emergency_button.png,One-Click Emergency Mode (ICE),17 01 Emergency Button,Emergency Triage & Patient Safety Hero slide
61,13_emergency,17_02_emergency_mode_open.png,One-Click Emergency Mode (ICE),17 02 Emergency Mode Open,Emergency Triage & Patient Safety Hero slide
62,13_emergency,17_03_emergency_profile.png,One-Click Emergency Mode (ICE),17 03 Emergency Profile,Emergency Triage & Patient Safety Hero slide
63,13_emergency,17_04_location_state.png,One-Click Emergency Mode (ICE),17 04 Location State,Emergency Triage & Patient Safety Hero slide
64,13_emergency,17_05_emergency_actions.png,One-Click Emergency Mode (ICE),17 05 Emergency Actions,Emergency Triage & Patient Safety Hero slide
65,13_emergency,17_06_other_patient_emergency.png,One-Click Emergency Mode (ICE),17 06 Other Patient Emergency,Emergency Triage & Patient Safety Hero slide
66,14_prescriptions,18_01_prescriptions_page.png,Prescription Management & Audit,18 01 Prescriptions Page,Feature walkthrough slide
67,14_prescriptions,18_02_prescription_card.png,Prescription Management & Audit,18 02 Prescription Card,Feature walkthrough slide
68,14_prescriptions,18_03_delete_prescription_button.png,Prescription Management & Audit,18 03 Delete Prescription Button,AI Safety & Data Governance slide
69,14_prescriptions,18_04_delete_confirmation.png,Prescription Management & Audit,18 04 Delete Confirmation,Feature walkthrough slide
70,14_prescriptions,18_05_after_delete.png,Prescription Management & Audit,18 05 After Delete,Feature walkthrough slide
71,15_patient_management,20_01_add_second_patient.png,Patient Isolation & Management,20 01 Add Second Patient,Feature walkthrough slide
72,15_patient_management,20_02_second_patient_created.png,Patient Isolation & Management,20 02 Second Patient Created,Feature walkthrough slide
73,15_patient_management,20_03_patient_selector_multiple.png,Patient Isolation & Management,20 03 Patient Selector Multiple,AI Safety & Data Governance slide
74,15_patient_management,21_01_patient_A_dashboard.png,Patient Isolation & Management,21 01 Patient A Dashboard,Patient Data Isolation & Privacy slide
75,15_patient_management,21_02_patient_B_dashboard.png,Patient Isolation & Management,21 02 Patient B Dashboard,Patient Data Isolation & Privacy slide
76,15_patient_management,21_04_patient_B_emergency.png,Patient Isolation & Management,21 04 Patient B Emergency,Emergency Triage & Patient Safety Hero slide
77,16_demo_patient,22_01_load_demo_button.png,Safe Demo Generator Engine,22 01 Load Demo Button,Feature walkthrough slide
78,16_demo_patient,22_02_demo_loading.png,Safe Demo Generator Engine,22 02 Demo Loading,Feature walkthrough slide
79,16_demo_patient,22_03_demo_patient_loaded.png,Safe Demo Generator Engine,22 03 Demo Patient Loaded,AI Safety & Data Governance slide
80,16_demo_patient,22_04_patient_selector_after_demo.png,Safe Demo Generator Engine,22 04 Patient Selector After Demo,Feature walkthrough slide
81,17_theme,23_01_dashboard_light.png,Design System & Accessibility,23 01 Dashboard Light,Feature walkthrough slide
82,17_theme,23_02_dashboard_dark.png,Design System & Accessibility,23 02 Dashboard Dark,Feature walkthrough slide
83,17_theme,23_03_documents_light.png,Design System & Accessibility,23 03 Documents Light,AI Safety & Data Governance slide
84,17_theme,23_04_documents_dark.png,Design System & Accessibility,23 04 Documents Dark,Feature walkthrough slide
85,17_theme,23_05_translate_light.png,Design System & Accessibility,23 05 Translate Light,Feature walkthrough slide
86,17_theme,23_06_translate_dark.png,Design System & Accessibility,23 06 Translate Dark,Feature walkthrough slide
87,17_theme,23_07_emergency_light_or_dark.png,Design System & Accessibility,23 07 Emergency Light Or Dark,Emergency Triage & Patient Safety Hero slide
88,18_responsive,24_01_mobile_dashboard.png,Responsive Architecture,24 01 Mobile Dashboard,Responsive Mobile & Clinical Tablet slide
89,18_responsive,24_03_mobile_upload.png,Responsive Architecture,24 03 Mobile Upload,Responsive Mobile & Clinical Tablet slide
90,18_responsive,24_04_mobile_timeline.png,Responsive Architecture,24 04 Mobile Timeline,Responsive Mobile & Clinical Tablet slide
91,18_responsive,24_05_mobile_emergency.png,Responsive Architecture,24 05 Mobile Emergency,Emergency Triage & Patient Safety Hero slide
92,18_responsive,24_06_mobile_translate.png,Responsive Architecture,24 06 Mobile Translate,Responsive Mobile & Clinical Tablet slide
93,18_responsive,24_07_tablet_dashboard.png,Responsive Architecture,24 07 Tablet Dashboard,Responsive Mobile & Clinical Tablet slide
94,19_final_states,25_01_before_new_prescription.png,Continuous Health Story & Master Heroes,25 01 Before New Prescription,Feature walkthrough slide
95,19_final_states,25_02_new_prescription_processing.png,Continuous Health Story & Master Heroes,25 02 New Prescription Processing,Feature walkthrough slide
96,19_final_states,25_04_new_current_medications.png,Continuous Health Story & Master Heroes,25 04 New Current Medications,Feature walkthrough slide
97,19_final_states,25_05_timeline_updated.png,Continuous Health Story & Master Heroes,25 05 Timeline Updated,Feature walkthrough slide
98,19_final_states,25_06_dashboard_updated.png,Continuous Health Story & Master Heroes,25 06 Dashboard Updated,Feature walkthrough slide
99,19_final_states,26_01_final_dashboard_light.png,Continuous Health Story & Master Heroes,26 01 Final Dashboard Light,Primary PPT Hero / Closing demo slide
100,19_final_states,26_02_final_dashboard_dark.png,Continuous Health Story & Master Heroes,26 02 Final Dashboard Dark,Primary PPT Hero / Closing demo slide
101,19_final_states,26_04_final_emergency.png,Continuous Health Story & Master Heroes,26 04 Final Emergency,Primary PPT Hero / Closing demo slide
102,19_final_states,26_05_final_translation.png,Continuous Health Story & Master Heroes,26 05 Final Translation,Primary PPT Hero / Closing demo slide
103,19_final_states,26_06_final_doctor_brief.png,Continuous Health Story & Master Heroes,26 06 Final Doctor Brief,Primary PPT Hero / Closing demo slide
